Title,Author,Genre,SubGenre,Publisher,features,Image
Fundamentals of Wavelets,"Goswami, Jaideva",tech,signal processing,Wiley,"Fundamentals of Wavelets, Goswami, Jaideva, tech, signal processing, Wiley",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348693160i/2063229.jpg
Data Smart,"Foreman, John",tech,data science,Wiley,"Data Smart, Foreman, John, tech, data science, Wiley",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1540820090i/17682206.jpg
God Created the Integers,"Hawking, Stephen",tech,mathematics,Penguin,"God Created the Integers, Hawking, Stephen, tech, mathematics, Penguin",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1436111753i/2096.jpg
Superfreakonomics,"Dubner, Stephen",science,economics,HarperCollins,"Superfreakonomics, Dubner, Stephen, science, economics, HarperCollins",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1308117804i/6402364.jpg
Orientalism,"Said, Edward",nonfiction,history,Penguin,"Orientalism, Said, Edward, nonfiction, history, Penguin",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1409777781i/355190.jpg
Nature of Statistical Learning Theory,"Vapnik, Vladimir",tech,data science,Springer,"Nature of Statistical Learning Theory, The, Vapnik, Vladimir, tech, data science, Springer",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348746730i/2631404.jpg
Integration of the Indian States,"Menon, V P",nonfiction,history,Orient Blackswan,"Integration of the Indian States, Menon, V P, nonfiction, history, Orient Blackswan",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1507452810i/5505708.jpg
Drunkard's Walk,"Mlodinow, Leonard",science,mathematics,Penguin,"Drunkard's Walk, The, Mlodinow, Leonard, science, mathematics, Penguin",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320392907i/2272880.jpg
Image Processing & Mathematical Morphology,"Shih, Frank",tech,signal processing,CRC,"Image Processing & Mathematical Morphology, Shih, Frank, tech, signal processing, CRC",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386925076i/196018.jpg
How to Think Like Sherlock Holmes,"Konnikova, Maria",nonfiction,psychology,Penguin,"How to Think Like Sherlock Holmes, Konnikova, Maria, nonfiction, psychology, Penguin",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355094882i/15805442.jpg
Data Scientists at Work,Sebastian Gutierrez,tech,data science,Apress,"Data Scientists at Work, Sebastian Gutierrez, tech, data science, Apress",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1418766970i/22945255.jpg
Slaughterhouse Five,"Vonnegut, Kurt",fiction,classic,Random House,"Slaughterhouse Five, Vonnegut, Kurt, fiction, classic, Random House",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440319389i/4981.jpg
Birth of a Theorem,"Villani, Cedric",science,mathematics,Bodley Head,"Birth of a Theorem, Villani, Cedric, science, mathematics, Bodley Head",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1415008624i/23257776.jpg
Structure & Interpretation of Computer Programs,"Sussman, Gerald",tech,computer science,MIT Press,"Structure & Interpretation of Computer Programs, Sussman, Gerald, tech, computer science, MIT Press",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1396422530i/61539.jpg
Age of Wrath,"Eraly, Abraham",nonfiction,history,Penguin,"Age of Wrath, The, Eraly, Abraham, nonfiction, history, Penguin",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1399528724i/22052108.jpg
Trial,"Kafka, Frank",fiction,classic,Random House,"Trial, The, Kafka, Frank, fiction, classic, Random House",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388240248i/7631105.jpg
Statistical Decision Theory,"Pratt, John",tech,data science,MIT Press,"Statistical Decision Theory, Pratt, John, tech, data science, MIT Press",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347454110i/1854932.jpg
Data Mining Handbook,"Nisbet, Robert",tech,data science,Apress,"Data Mining Handbook, Nisbet, Robert, tech, data science, Apress",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1613584365i/57108889.jpg
New Machiavelli,"Wells, H. G.",fiction,novel,Penguin,"New Machiavelli, The, Wells, H. G., fiction, novel, Penguin",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320551396i/8404422.jpg
Physics & Philosophy,"Heisenberg, Werner",philosophy,science,Penguin,"Physics & Philosophy, Heisenberg, Werner, philosophy, science, Penguin",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320469147i/1168341.jpg
Making Software,"Oram, Andy",tech,computer science,O'Reilly,"Making Software, Oram, Andy, tech, computer science, O'Reilly",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328835031i/8553359.jpg
Analysis,"Tao, Terence",tech,mathematics,HBA,"Analysis, Vol I, Tao, Terence, tech, mathematics, HBA",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1172646390i/203409.jpg
Machine Learning for Hackers,"Conway, Drew",tech,data science,O'Reilly,"Machine Learning for Hackers, Conway, Drew, tech, data science, O'Reilly",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1329074818i/13482301.jpg
Signal and the Noise,"Silver, Nate",tech,data science,Penguin,"Signal and the Noise, The, Silver, Nate, tech, data science, Penguin",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355058876i/13588394.jpg
Python for Data Analysis,"McKinney, Wes",tech,data science,O'Reilly,"Python for Data Analysis, McKinney, Wes, tech, data science, O'Reilly",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356132971i/14744694.jpg
Introduction to Algorithms,"Cormen, Thomas",tech,computer science,MIT Press,"Introduction to Algorithms, Cormen, Thomas, tech, computer science, MIT Press",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387741681i/108986.jpg
Beautiful and the Damned,"Deb, Siddhartha",nonfiction,history,Penguin,"Beautiful and the Damned, The, Deb, Siddhartha, nonfiction, history, Penguin",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1380491758i/17334497.jpg
Outsider,"Camus, Albert",fiction,classic,Penguin,"Outsider, The, Camus, Albert, fiction, classic, Penguin",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442129426i/231804.jpg
Complete Sherlock Holmes,"Doyle, Arthur Conan",fiction,classic,Random House,"Complete Sherlock Holmes, The - Vol I, Doyle, Arthur Conan, fiction, classic, Random House",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347663158i/3586.jpg
Wealth of Nations,"Smith, Adam",science,economics,Random House,"Wealth of Nations, The, Smith, Adam, science, economics, Random House",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1567191193i/25698.jpg
Pillars of the Earth,"Follett, Ken",fiction,novel,Random House,"Pillars of the Earth, The, Follett, Ken, fiction, novel, Random House",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1576956100i/5043.jpg
Mein Kampf,"Hitler, Adolf",nonfiction,autobiography,Rupa,"Mein Kampf, Hitler, Adolf, nonfiction, autobiography, Rupa",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1395618385i/54270.jpg
Tao of Physics,"Capra, Fritjof",science,physics,Penguin,"Tao of Physics, The, Capra, Fritjof, science, physics, Penguin",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327908532i/10238.jpg
Surely You're Joking Mr Feynman,"Feynman, Richard",science,physics,Random House,"Surely You're Joking Mr Feynman, Feynman, Richard, science, physics, Random House",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1504936953i/35167685.jpg
Farewell to Arms,"Hemingway, Ernest",fiction,classic,Rupa,"Farewell to Arms, A, Hemingway, Ernest, fiction, classic, Rupa",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1313714836i/10799.jpg
Veteran,"Forsyth, Frederick",fiction,novel,Transworld,"Veteran, The, Forsyth, Frederick, fiction, novel, Transworld",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312017714i/109508.jpg
False Impressions,"Archer, Jeffery",fiction,novel,Pan,"False Impressions, Archer, Jeffery, fiction, novel, Pan",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1429040577i/78971.jpg
Last Lecture,"Pausch, Randy",nonfiction,autobiography,Hyperion,"Last Lecture, The, Pausch, Randy, nonfiction, autobiography, Hyperion",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529682044i/40611510.jpg
Return of the Primitive,"Rand, Ayn",philosophy,objectivism,Penguin,"Return of the Primitive, Rand, Ayn, philosophy, objectivism, Penguin",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1428253204i/56016.jpg
Jurassic Park,"Crichton, Michael",fiction,novel,Random House,"Jurassic Park, Crichton, Michael, fiction, novel, Random House",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529604411i/40604658.jpg
Russian Journal,"Steinbeck, John",nonfiction,history,Penguin,"Russian Journal, A, Steinbeck, John, nonfiction, history, Penguin",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327990426i/202400.jpg
Tales of Mystery and Imagination,"Poe, Edgar Allen",fiction,classic,HarperCollins,"Tales of Mystery and Imagination, Poe, Edgar Allen, fiction, classic, HarperCollins",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1364138174i/196150.jpg
Freakonomics,"Dubner, Stephen",science,economics,Penguin,"Freakonomics, Dubner, Stephen, science, economics, Penguin",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1550917827i/1202.jpg
Hidden Connections,"Capra, Fritjof",science,physics,HarperCollins,"Hidden Connections, The, Capra, Fritjof, science, physics, HarperCollins",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356841195i/12870068.jpg
Story of Philosophy,"Durant, Will",philosophy,history,Pocket,"Story of Philosophy, The, Durant, Will, philosophy, history, Pocket",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1438471992i/31795.jpg
Asami Asami,"Deshpande, P L",fiction,novel,Mauj,"Asami Asami, Deshpande, P L, fiction, novel, Mauj",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1322728784i/12374843.jpg
Journal of a Novel,"Steinbeck, John",fiction,classic,Penguin,"Journal of a Novel, Steinbeck, John, fiction, classic, Penguin",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388263595i/28910.jpg
Once There Was a War,"Steinbeck, John",nonfiction,history,Penguin,"Once There Was a War, Steinbeck, John, nonfiction, history, Penguin",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348516021i/4800.jpg
Moon is Down,"Steinbeck, John",fiction,classic,Penguin,"Moon is Down, The, Steinbeck, John, fiction, classic, Penguin",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327961310i/12722.jpg
Brethren,"Grisham, John",fiction,novel,Random House,"Brethren, The, Grisham, John, fiction, novel, Random House",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386923281i/5354.jpg
In a Free State,"Naipaul, V. S.",fiction,novel,Rupa,"In a Free State, Naipaul, V. S., fiction, novel, Rupa",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328700259i/49742.jpg
Catch 22,"Heller, Joseph",fiction,classic,Random House,"Catch 22, Heller, Joseph, fiction, classic, Random House",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1463157317i/168668.jpg
Dylan on Dylan,"Dylan, Bob",nonfiction,autobiography,Random House,"Dylan on Dylan, Dylan, Bob, nonfiction, autobiography, Random House",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347887125i/1869530.jpg
Econometric Analysis,"Greene, W. H.",tech,economics,Pearson,"Econometric Analysis, Greene, W. H., tech, economics, Pearson",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386924179i/83280.jpg
Learning OpenCV,"Bradsky, Gary",tech,signal processing,O'Reilly,"Learning OpenCV, Bradsky, Gary, tech, signal processing, O'Reilly",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328834774i/3101709.jpg
Data Structures Using C & C++,"Tanenbaum, Andrew",tech,computer science,Prentice Hall,"Data Structures Using C & C++, Tanenbaum, Andrew, tech, computer science, Prentice Hall",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328036787i/9453593.jpg
Computer Vision,"Forsyth, David",tech,signal processing,Pearson,"Computer Vision, A Modern Approach, Forsyth, David, tech, signal processing, Pearson",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1521329604i/37846923.jpg
Principles of Communication Systems,"Taub, Schilling",tech,signal processing,TMH,"Principles of Communication Systems, Taub, Schilling, tech, signal processing, TMH",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347785040i/307055.jpg
Let Us C,"Kanetkar, Yashwant",tech,computer science,Prentice Hall,"Let Us C, Kanetkar, Yashwant, tech, computer science, Prentice Hall",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1494048555i/2522691.jpg
Amulet of Samarkand,"Stroud, Jonathan",fiction,novel,Random House,"Amulet of Samarkand, The, Stroud, Jonathan, fiction, novel, Random House",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1528705815i/334123.jpg
Crime and Punishment,"Dostoevsky, Fyodor",fiction,classic,Penguin,"Crime and Punishment, Dostoevsky, Fyodor, fiction, classic, Penguin",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1382846449i/7144.jpg
Angels & Demons,"Brown, Dan",fiction,novel,Random House,"Angels & Demons, Brown, Dan, fiction, novel, Random House",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1639587647i/960.jpg
Argumentative Indian,"Sen, Amartya",nonfiction,history,Picador,"Argumentative Indian, The, Sen, Amartya, nonfiction, history, Picador",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389175338i/10310.jpg
Sea of Poppies,"Ghosh, Amitav",fiction,novel,Penguin,"Sea of Poppies, Ghosh, Amitav, fiction, novel, Penguin",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327376395i/1330324.jpg
Idea of Justice,"Sen, Amartya",philosophy,economics,Penguin,"Idea of Justice, The, Sen, Amartya, philosophy, economics, Penguin",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348462840i/6610623.jpg
Raisin in the Sun,"Hansberry, Lorraine",fiction,novel,Penguin,"Raisin in the Sun, A, Hansberry, Lorraine, fiction, novel, Penguin",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1165522672i/5517.jpg
All the President's Men,"Woodward, Bob",nonfiction,history,Random House,"All the President's Men, Woodward, Bob, nonfiction, history, Random House",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347805228i/96123.jpg
Prisoner of Birth,"Archer, Jeffery",fiction,novel,Pan,"Prisoner of Birth, A, Archer, Jeffery, fiction, novel, Pan",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442339900i/1611988.jpg
Scoop!,"Nayar, Kuldip",nonfiction,history,HarperCollins,"Scoop!, Nayar, Kuldip, nonfiction, history, HarperCollins",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388384907i/261821.jpg
Last Mughal,"Dalrymple, William",nonfiction,history,Penguin,"Last Mughal, The, Dalrymple, William, nonfiction, history, Penguin",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320556054i/124429.jpg
Social Choice & Welfare,Various,tech,economics,Springer,"Social Choice & Welfare, Vol 39 No. 1, Various, tech, economics, Springer",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1392450259i/226774.jpg
Radiowaril Bhashane & Shrutika,"Deshpande, P L",nonfiction,misc,Mauj,"Radiowaril Bhashane & Shrutika, Deshpande, P L, nonfiction, misc, Mauj",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390542342i/20625709.jpg
Aghal Paghal,"Deshpande, P L",nonfiction,misc,Mauj,"Aghal Paghal, Deshpande, P L, nonfiction, misc, Mauj",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1350140863i/12989372.jpg
Beyond Degrees,other,philosophy,education,HarperCollins,"Beyond Degrees, other, philosophy, education, HarperCollins",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1182769282i/1325391.jpg
Manasa,"Kale, V P",nonfiction,misc,Mauj,"Manasa, Kale, V P, nonfiction, misc, Mauj",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1313677139i/12391584.jpg
Great Indian Novel,"Tharoor, Shashi",fiction,novel,Penguin,"Great Indian Novel, The, Tharoor, Shashi, fiction, novel, Penguin",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1599943210i/30843.jpg
O Jerusalem!,"Lapierre, Dominique",nonfiction,history,vikas,"O Jerusalem!, Lapierre, Dominique, nonfiction, history, vikas",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388500747i/77259.jpg
City of Joy,"Lapierre, Dominique",fiction,novel,vikas,"City of Joy, The, Lapierre, Dominique, fiction, novel, vikas",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389759636i/356525.jpg
Freedom at Midnight,"Lapierre, Dominique",nonfiction,history,vikas,"Freedom at Midnight, Lapierre, Dominique, nonfiction, history, vikas",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1365170106i/204123.jpg
Winter of Our Discontent,"Steinbeck, John",fiction,classic,Penguin,"Winter of Our Discontent, The, Steinbeck, John, fiction, classic, Penguin",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388197029i/4796.jpg
On Education,"Russell, Bertrand",philosophy,education,Routledge,"On Education, Russell, Bertrand, philosophy, education, Routledge",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1334836441i/326679.jpg
Free Will,"Harris, Sam",nonfiction,psychology,FreePress,"Free Will, Harris, Sam, nonfiction, psychology, FreePress",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1532072045i/13259270.jpg
Bookless in Baghdad,"Tharoor, Shashi",nonfiction,history,Penguin,"Bookless in Baghdad, Tharoor, Shashi, nonfiction, history, Penguin",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348706836i/805865.jpg
